Account_ID,Customer_ID,Branch_ID,Account_Type,Account_Open_Date.1,Account_Status,Current_Balance
A000001,C01061,BR012,Savings,28-05-2022,Active,
A000002,C02170,BR010,Salary,25-12-2025,Active,68645.15
A000003,C00613,BR001,Savings,19-10-2024,Active,89886.33
A000004,C01916,BR005,Salary,06-06-2023,Active,44288.52
A000005,C00608,BR014,Savings,29-05-2025,Active,27469.24
A000006,C01923,BR014,Fixed Deposit,01-06-2023,Active,160088.89
A000007,C01073,BR006,Salary,30-12-2024,Active,55350.67
A000008,C02577,BR015,Current,04-11-2025,Active,80317.42
A000009,C02506,BR012,Savings,26-01-2025,Active,76512.68
A000010,C01001,BR007,Savings,15-08-2024,Active,80008.24
A000011,C00124,BR005,Fixed Deposit,07-10-2022,Active,176376.48
A000012,C00967,BR011,Fixed Deposit,25-09-2025,Active,215717.27
A000013,C00846,BR002,Savings,15-09-2023,Active,24484.03
A000014,C01277,BR006,Savings,29-06-2024,Active,8655.55
A000015,C01724,BR010,Savings,12-06-2024,Active,33468.04
A000016,C02970,BR005,Savings,27-12-2022,Active,32596.66
A000017,C00189,BR008,Savings,31-05-2024,Active,10853.1
A000018,C01665,BR007,Salary,25-07-2023,Active,261093.61
A000019,C00515,BR004,Savings,26-05-2023,Active,56157.37
A000020,C01641,BR003,Fixed Deposit,08-06-2025,Active,333471.38
A000021,C01911,BR011,Fixed Deposit,20-11-2024,Inactive,76311.63
A000022,C02429,BR010,Savings,17-12-2023,Active,22958.92
A000023,C01680,BR005,Savings,28-01-2022,Active,70890.49
A000024,C00535,BR007,Current,01-11-2024,Active,111341.24
A000025,C02741,BR005,Savings,14-12-2024,Active,23637.95
A000026,C01217,BR001,Salary,01-09-2022,Active,26283.67
A000027,C01439,BR008,Current,10-01-2025,Active,32782.66
A000028,C01925,BR014,Savings,08-08-2023,Active,73710.38
A000029,C00795,BR007,Fixed Deposit,06-12-2024,Active,208416.96
A000030,C02965,BR008,Savings,11-05-2025,Active,6126.19
A000031,C00134,BR005,Savings,20-10-2024,Active,45336.47
A000032,C00464,BR007,Fixed Deposit,06-10-2025,Active,71969.54
A000033,C02971,BR008,Savings,22-04-2022,Active,55320.97
A000034,C01357,BR006,Savings,19-04-2023,Closed,19075.45
A000035,C02680,BR006,Savings,28-03-2022,Active,20849.59
A000036,C02717,BR008,Savings,10-09-2022,Active,20347.87
A000037,C02972,BR008,Savings,30-06-2023,Active,83328.09
A000038,C02177,BR009,Salary,04-02-2022,Active,7799.2
A000039,C02050,BR005,Savings,02-08-2023,Active,65525.91
A000040,C01842,BR008,Current,06-07-2022,Active,51934.14
A000041,C02050,BR005,Savings,15-06-2022,Active,32904.45
A000042,C00772,BR003,Savings,05-05-2025,Active,23915.02
A000043,C02446,BR008,Fixed Deposit,23-12-2024,Active,64429.78
A000044,C00562,BR013,Salary,28-10-2023,Active,24078.75
A000045,C01439,BR008,Salary,08-04-2024,Active,23894.25
A000046,C01123,BR005,Savings,03-03-2023,Active,36949
A000047,C02285,BR006,Savings,11-12-2023,Active,150978.93
A000048,C00766,BR011,Fixed Deposit,07-02-2025,Active,77300.8
A000049,C00620,BR002,Fixed Deposit,01-02-2024,Active,274243.58
A000050,C02426,BR008,Salary,05-03-2025,Active,30993.02
A000051,C01461,BR005,Savings,10-12-2023,Closed,29015.83
A000052,C02163,BR002,Savings,14-06-2023,Active,9558.42
A000053,C02637,BR005,Savings,31-07-2025,Active,7869.01
A000054,C02506,BR012,Savings,09-08-2025,Active,46725.51
A000055,C01200,BR013,Savings,01-12-2022,Active,11898.44
A000056,C00514,BR007,Savings,08-11-2023,Active,83035.08
A000057,C02881,BR015,Savings,02-02-2025,Active,14759.22
A000058,C00930,BR005,Current,17-01-2023,Active,106354.02
A000059,C02308,BR008,Current,30-12-2024,Active,48724.04
A000060,C02306,BR008,Current,07-08-2025,Active,19320.53
A000061,C01328,BR011,Savings,11-12-2022,Active,16096.01
A000062,C00491,BR005,Current,12-08-2022,Active,20968.37
A000063,C01417,BR015,Fixed Deposit,12-10-2025,Active,82857.84
A000064,C00437,BR008,Savings,26-12-2025,Active,26766.35
A000065,C01057,BR005,Fixed Deposit,08-06-2025,Active,146759.75
A000066,C01150,BR005,Savings,14-06-2024,Active,35377.11
A000067,C01555,BR012,Current,05-05-2022,Active,27293.33
A000068,C00560,BR003,Savings,30-08-2025,Active,48284.05
A000069,C02538,BR008,Salary,18-10-2022,Active,27109.7
A000070,C00237,BR008,Fixed Deposit,19-09-2022,Inactive,75597.32
A000071,C02957,BR012,Savings,13-11-2024,Active,25108.13
A000072,C00939,BR006,Salary,23-07-2023,Active,8296.82
A000073,C01469,BR012,Fixed Deposit,21-06-2025,Active,46867.66
A000074,C02627,BR012,Salary,29-06-2025,Active,28324.84
A000075,C01963,BR014,Savings,22-03-2025,Active,32832.28
A000076,C00170,BR004,Savings,08-05-2025,Active,17211.07
A000077,C01813,BR002,Fixed Deposit,08-03-2024,Inactive,57755.98
A000078,C01699,BR005,Salary,27-06-2025,Active,31753.55
A000079,C02798,BR005,Fixed Deposit,30-08-2025,Active,103921.16
A000080,C01690,BR015,Savings,14-02-2023,Active,36315.4
A000081,C02977,BR003,Salary,14-09-2023,Active,97480.09
A000082,C01593,BR001,Salary,21-06-2024,Inactive,5627.01
A000083,C00577,BR008,Fixed Deposit,09-06-2025,Active,52767.83
A000084,C01517,BR006,Salary,24-07-2023,Active,20722.12
A000085,C02753,BR005,Savings,16-01-2023,Active,18052.16
A000086,C00052,BR003,Salary,14-04-2023,Active,24865.95
A000087,C01197,BR004,Current,14-03-2025,Active,63218.04
A000088,C00143,BR006,Savings,30-01-2024,Active,14454.84
A000089,C02526,BR005,Savings,08-01-2023,Active,71890.91
A000090,C01534,BR014,Fixed Deposit,10-11-2024,Active,147565.15
A000091,C02149,BR005,Savings,22-08-2024,Active,6857.28
A000092,C02905,BR008,Savings,28-01-2024,Active,62074.9
A000093,C02497,BR002,Current,24-06-2024,Active,58998.06
A000094,C01224,BR008,Fixed Deposit,03-12-2022,Active,184573.72
A000095,C02805,BR004,Salary,24-09-2022,Active,40795.34
A000096,C01417,BR015,Savings,25-03-2025,Active,59307.65
A000097,C02936,BR005,Savings,20-09-2024,Active,8950.38
A000098,C02947,BR003,Savings,29-11-2025,Active,44604.77
A000099,C00665,BR015,Savings,03-10-2025,Active,19717.68
A000100,C02338,BR012,Salary,15-06-2023,Active,55490.44
A000101,C02094,BR005,Savings,07-11-2023,Active,15827.47
A000102,C02311,BR003,Savings,25-05-2025,Active,84881.39
A000103,C00504,BR015,Fixed Deposit,05-01-2022,Inactive,81081.68
A000104,C01515,BR010,Savings,16-06-2025,Active,20752.95
A000105,C00455,BR008,Savings,03-09-2022,Active,18938.67
A000106,C02694,BR007,Savings,16-01-2023,Active,73571.97
A000107,C02620,BR008,Savings,06-12-2023,Inactive,18928.32
A000108,C01744,BR015,Savings,27-10-2024,Closed,86204.9
A000109,C00390,BR001,Fixed Deposit,02-06-2023,Active,156318.16
A000110,C01971,BR002,Fixed Deposit,03-10-2025,Active,130416.34
A000111,C01318,BR003,Salary,17-02-2025,Active,35781.48
A000112,C02363,BR010,Salary,16-12-2024,Active,36422.21
A000113,C00298,BR013,Savings,02-02-2025,Inactive,10484.69
A000114,C01220,BR005,Salary,13-02-2022,Active,35247.27
A000115,C01085,BR006,Savings,17-04-2025,Active,55489.9
A000116,C02860,BR008,Savings,02-06-2024,Active,91311.61
A000117,C00895,BR001,Savings,30-09-2022,Active,87973.29
A000118,C02965,BR008,Current,11-02-2025,Active,62484.36
A000119,C02767,BR006,Savings,04-06-2022,Active,35017.39
A000120,C01762,BR005,Savings,22-06-2024,Active,56040.77
A000121,C00525,BR002,Savings,11-04-2024,Active,20906.26
A000122,C00667,BR008,Savings,11-02-2022,Active,173632.88
A000123,C00052,BR003,Savings,02-07-2023,Active,16412.66
A000124,C02325,BR012,Current,25-06-2022,Inactive,189261.48
A000125,C02177,BR009,Savings,14-10-2025,Active,149851.51
A000126,C00967,BR011,Current,17-03-2025,Active,70254.72
A000127,C02194,BR003,Savings,26-12-2025,Active,84455.61
A000128,C01732,BR005,Savings,15-12-2023,Inactive,51602.44
A000129,C02450,BR010,Current,26-04-2023,Active,137943.2
A000130,C00261,BR005,Current,31-10-2025,Closed,98074.58
A000131,C00597,BR001,Savings,25-03-2023,Active,43860.05
A000132,C02423,BR008,Current,30-08-2023,Active,27490.36
A000133,C01109,BR007,Salary,15-07-2022,Active,124637.7
A000134,C02878,BR006,Savings,15-04-2025,Active,56876.93
A000135,C02643,BR011,Current,25-06-2022,Active,87292.14
A000136,C00283,BR006,Savings,21-02-2022,Active,65852.98
A000137,C01211,BR009,Fixed Deposit,02-05-2025,Active,152018.44
A000138,C02195,BR014,Savings,13-05-2025,Active,25197.63
A000139,C00410,BR009,Fixed Deposit,01-06-2025,Active,49724.01
A000140,C02583,BR001,Current,09-06-2025,Active,12720.48
A000141,C00295,BR009,Current,27-07-2022,Active,27014.58
A000142,C00329,BR001,Savings,13-06-2023,Active,42114.32
A000143,C01631,BR004,Current,22-01-2025,Active,43199.26
A000144,C00741,BR002,Savings,29-03-2023,Active,19332.93
A000145,C01918,BR005,Savings,11-02-2025,Inactive,71174.4
A000146,C01176,BR005,Savings,22-08-2025,Active,29658.16
A000147,C00813,BR008,Salary,05-11-2025,Active,22819.73
A000148,C02511,BR001,Salary,10-02-2025,Active,78566.25
A000149,C00479,BR013,Fixed Deposit,10-03-2025,Active,189335.39
A000150,C01481,BR006,Savings,23-05-2024,Active,15485.33
A000151,C00506,BR011,Fixed Deposit,25-04-2022,Active,101201.08
A000152,C00411,BR012,Fixed Deposit,30-09-2023,Active,102732.34
