Transaction_ID,Account_ID,Customer_ID,Branch_ID,Transaction_Date.1,Transaction_Type,Channel,Amount,Transaction_Status
T0000001,A000960,C02966,BR003,07-06-2025,Withdrawal,Branch,2846.24,Completed
T0000002,A000203,C01525,BR010,03-05-2025,Deposit,ATM,14944.97,Failed
T0000003,A000891,C01046,BR001,12-11-2025,Deposit,Branch,2894.75,Completed
T0000004,A003741,C02957,BR012,01-04-2025,Deposit,UPI,3814.5,Completed
T0000005,A000053,C02637,BR005,27-03-2024,Withdrawal,Debit Card,7132.72,Completed
T0000006,A003118,C02800,BR004,22-08-2023,Deposit,UPI,33130.06,Completed
T0000007,A000744,C00308,BR010,15-11-2025,Deposit,ATM,2521.05,Completed
T0000008,A001946,C01632,BR014,23-02-2024,Deposit,Branch,4311.84,Completed
T0000009,A000033,C02971,BR008,22-08-2024,Transfer,UPI,5127.45,Completed
T0000010,A002084,C01902,BR005,22-11-2024,Withdrawal,Mobile App,13111.16,Completed
T0000011,A003919,C02981,BR010,18-12-2025,Deposit,ATM,3391.51,Pending
T0000012,A000481,C00203,BR014,29-06-2024,Deposit,Net Banking,2458.57,Completed
T0000013,A001308,C01530,BR005,16-08-2025,Withdrawal,Debit Card,3835.53,Completed
T0000014,A001107,C02090,BR001,10-02-2025,Withdrawal,Mobile App,12056.54,Completed
T0000015,A002954,C00020,BR009,03-08-2023,Deposit,Mobile App,1675.71,Completed
T0000016,A003465,C01495,BR015,24-05-2023,Deposit,Mobile App,24143.61,Completed
T0000017,A001138,C01178,BR008,26-11-2024,Withdrawal,Branch,17510.57,Completed
T0000018,A000531,C02886,BR014,22-03-2024,Transfer,UPI,16536.91,Completed
T0000019,A003734,C02758,BR003,11-02-2023,Deposit,UPI,12910.75,Completed
T0000020,A000439,C00419,BR003,25-02-2025,Withdrawal,Branch,9255.38,Completed
T0000021,A003605,C00638,BR005,26-10-2025,Withdrawal,Branch,3754.34,Completed
T0000022,A002345,C00702,BR001,09-01-2023,Withdrawal,Net Banking,5382.69,Completed
T0000023,A003284,C00357,BR010,22-10-2025,Deposit,UPI,5202.35,Completed
T0000024,A003530,C00965,BR003,13-12-2024,Transfer,UPI,1959.48,Completed
T0000025,A002906,C02763,BR009,16-11-2025,Withdrawal,Net Banking,35777.61,Completed
T0000026,A001593,C02257,BR009,15-08-2024,Withdrawal,ATM,2455.19,Completed
T0000027,A001361,C00788,BR003,31-01-2024,Withdrawal,Net Banking,5211.27,Completed
T0000028,A002713,C02064,BR005,10-10-2025,Deposit,UPI,6103.93,Completed
T0000029,A002167,C02786,BR001,06-10-2024,Withdrawal,Net Banking,11641.15,Completed
T0000030,A003790,C01092,BR015,20-11-2025,Deposit,UPI,5430.77,Completed
T0000031,A003208,C01635,BR012,12-10-2023,Deposit,UPI,4124.37,Pending
T0000032,A003744,C01168,BR006,25-01-2025,Deposit,ATM,22252.63,Completed
T0000033,A001670,C01865,BR003,16-10-2024,Transfer,UPI,224284.03,Completed
T0000034,A001966,C00724,BR005,13-08-2024,Transfer,ATM,70838.3,Completed
T0000035,A003705,C00511,BR009,02-07-2025,Deposit,ATM,9188.52,Completed
T0000036,A001242,C02915,BR004,04-08-2024,Withdrawal,Net Banking,1575.82,Completed
T0000037,A003467,C02711,BR005,08-06-2025,Withdrawal,UPI,1492.07,Completed
T0000038,A002409,C00678,BR005,02-05-2024,Withdrawal,ATM,22238.16,Completed
T0000039,A001753,C00146,BR005,05-07-2023,Deposit,UPI,8902.97,Completed
T0000040,A003882,C00760,BR006,03-05-2025,Transfer,ATM,9949.88,Completed
T0000041,A001116,C02885,BR004,05-12-2024,Withdrawal,UPI,11420.47,Completed
T0000042,A002860,C02659,BR012,02-01-2024,Withdrawal,Branch,4236.22,Completed
T0000043,A001494,C02396,BR004,11-01-2023,Transfer,UPI,8379.67,Completed
T0000044,A004012,C01361,BR015,23-09-2023,Transfer,UPI,14510.55,Completed
T0000045,A002297,C02508,BR008,08-04-2024,Deposit,Mobile App,42837.77,Completed
T0000046,A002433,C00871,BR001,28-04-2024,Deposit,Branch,44680.35,Completed
T0000047,A001330,C01105,BR009,17-03-2025,Withdrawal,Debit Card,17506.46,Completed
T0000048,A000090,C01534,BR014,31-12-2023,Withdrawal,UPI,5323.63,Completed
T0000049,A004166,C00414,BR004,28-03-2023,Transfer,Branch,10400.06,Completed
T0000050,A001882,C00351,BR005,11-06-2025,Withdrawal,Net Banking,29045.12,Completed
T0000051,A002776,C00633,BR005,18-01-2024,Withdrawal,Mobile App,55513.52,Completed
T0000052,A003794,C02619,BR010,29-10-2023,Withdrawal,Branch,31437.36,Completed
T0000053,A001487,C00134,BR005,05-04-2025,Deposit,UPI,5048.5,Completed
T0000054,A000142,C00329,BR001,16-03-2024,Deposit,UPI,27553.33,Pending
T0000055,A003279,C01649,BR008,28-06-2024,Deposit,UPI,4730.29,Completed
T0000056,A002596,C02411,BR005,24-10-2023,Withdrawal,Net Banking,25143.88,Completed
T0000057,A002704,C01166,BR004,30-08-2025,Deposit,ATM,31039.23,Completed
T0000058,A001588,C00702,BR001,12-08-2024,Deposit,Mobile App,19458.61,Completed
