Loan_ID,Customer_ID,Branch_ID,Loan_Type,Application_Date.1,Loan_Amount,Interest_Rate,Tenure_Months,Approval_Status,Loan_Status,Estimated_Interest
L000001,C01732,BR005,Auto,20-01-2023,1042290.75,14.4,120,Approved,Active,1500898.68
L000002,C00597,BR001,Auto,23-11-2025,379364.66,12.58,48,Approved,Defaulted,190896.3
L000003,C01405,BR004,Auto,31-08-2024,950318.45,7.32,60,Approved,Defaulted,347816.55
L000004,C00484,BR005,Personal,23-12-2025,615884.7,7.3,24,Rejected,Rejected,89919.17
L000005,C01188,BR010,Auto,13-12-2023,332359.11,11.59,48,Approved,Active,154081.68
L000006,C00338,BR014,Personal,15-03-2025,520836.49,8.41,12,Rejected,Rejected,43802.35
L000007,C02017,BR010,Home,05-07-2024,2942112.72,11.47,60,Approved,Active,1687301.64
L000008,C02971,BR008,Home,25-06-2024,921155.64,12.84,48,Approved,Closed,473105.54
L000009,C01468,BR002,Auto,28-08-2023,1151373.19,12.05,60,Approved,Active,693702.35
L000010,C00881,BR007,Auto,27-03-2024,171333.61,9.5,12,Approved,Active,16276.69
L000011,C00205,BR008,Business,23-05-2024,885002.2,9.33,60,Pending,Under Review,412853.53
L000012,C01959,BR006,Education,18-06-2024,216560.53,10.88,36,Approved,Closed,70685.36
L000013,C02846,BR014,Education,03-11-2023,617623.88,8.8,120,Approved,Active,543509.01
L000014,C02335,BR007,Auto,05-08-2024,350318.27,10.04,180,Approved,Active,527579.31
L000015,C00495,BR010,Auto,09-01-2023,797666.65,14.13,120,Approved,Active,1127102.98
L000016,C01831,BR010,Home,01-07-2025,2872700.7,14.48,60,Approved,Active,2079835.31
L000017,C01060,BR014,Home,08-04-2024,1067846.45,12.17,36,Approved,Active,389870.74
L000018,C02022,BR015,Home,26-11-2024,707243.52,12.46,84,Approved,Active,616857.8
L000019,C00851,BR006,Personal,05-09-2023,870035.89,7.82,36,Approved,Closed,204110.42
L000020,C00776,BR010,Personal,10-05-2023,95115.14,7.72,60,Approved,Closed,36714.44
L000021,C02045,BR015,Personal,05-11-2023,529599.67,8.02,84,Approved,Active,297317.25
L000022,C00390,BR001,Home,13-11-2023,1924444.05,11.63,12,Approved,Active,223812.84
L000023,C01310,BR007,Personal,15-07-2025,236076.94,7.72,12,Approved,Active,18225.14
L000024,C02196,BR014,Auto,09-04-2025,1060892.68,8.69,24,Rejected,Rejected,184383.15
L000025,C01140,BR012,Education,05-07-2025,265545.99,8,240,Approved,Active,424873.58
L000026,C01072,BR008,Auto,10-02-2024,103785.08,12.14,240,Approved,Closed,251990.17
L000027,C02550,BR010,Auto,30-10-2025,1124620.84,8.88,60,Approved,Active,499331.65
L000028,C02944,BR005,Business,06-04-2025,2242865.91,9.68,36,Approved,Active,651328.26
L000029,C02957,BR012,Home,09-11-2023,773246.29,13.76,36,Rejected,Rejected,319196.07
L000030,C01560,BR006,Education,04-04-2023,677837.1,14.72,24,Approved,Closed,199555.24
L000031,C01452,BR007,Business,18-02-2025,2043766.44,10.52,84,Approved,Closed,1505029.61
L000032,C00351,BR005,Auto,03-11-2024,730379.94,10.94,120,Approved,Closed,799035.65
L000033,C01189,BR012,Business,17-10-2024,2346034.06,9.2,36,Approved,Active,647505.4
L000034,C01676,BR015,Personal,29-08-2025,481932.59,8.1,12,Approved,Active,39036.54
L000035,C02549,BR008,Personal,26-02-2025,696805.45,12.05,84,Approved,Active,587755.4
L000036,C02912,BR009,Business,11-06-2023,1408411.94,11.4,120,Approved,Active,1605589.61
L000037,C02384,BR008,Personal,01-08-2025,589603.48,9.1,36,Approved,Defaulted,160961.75
L000038,C01485,BR006,Personal,04-06-2024,518066.78,9.97,12,Rejected,Rejected,51651.26
L000039,C00596,BR004,Personal,11-04-2023,306705.27,7.58,48,Approved,Active,92993.04
L000040,C01127,BR013,Home,21-10-2023,599881.08,13.15,180,Rejected,Rejected,1183265.43
L000041,C01157,BR001,Home,28-11-2025,1572677.31,7.31,48,Approved,Active,459850.85
L000042,C00120,BR014,Education,18-02-2023,363710.36,8.38,180,Approved,Defaulted,457183.92
L000043,C00013,BR001,Personal,17-01-2023,562333.3,13.32,180,Pending,Under Review,1123541.93
L000044,C01155,BR005,Home,29-08-2025,2463802.16,7.95,48,Rejected,Rejected,783489.09
L000045,C01387,BR009,Home,20-09-2024,2349689.69,13.73,24,Approved,Active,645224.79
L000046,C01144,BR012,Business,15-06-2024,513632.44,9.77,120,Approved,Active,501818.89
L000047,C02535,BR005,Auto,02-02-2025,135909.43,13.96,48,Approved,Closed,75891.83
L000048,C01911,BR011,Home,24-06-2025,708284.5,9.1,36,Approved,Active,193361.67
L000049,C02958,BR008,Business,27-02-2024,417011.64,10.4,120,Approved,Active,433692.11
L000050,C02937,BR013,Education,06-02-2023,91631.48,13.4,120,Approved,Active,122786.18
L000051,C00762,BR015,Home,14-11-2024,2506317.74,9.55,48,Rejected,Rejected,957413.38
L000052,C00187,BR007,Home,06-05-2024,2855971.4,13.95,24,Approved,Closed,796816.02
L000053,C01689,BR006,Business,06-02-2025,336971.45,9.35,84,Approved,Closed,220547.81
L000054,C00453,BR005,Personal,24-02-2025,114990.84,10.08,240,Approved,Active,231821.53
L000055,C01546,BR007,Auto,04-01-2024,943060.61,7.56,36,Approved,Closed,213886.15
L000056,C00338,BR014,Business,25-08-2023,436511,13.43,120,Approved,Active,586234.27
L000057,C01631,BR004,Education,12-04-2023,467520.87,13.49,180,Rejected,Rejected,946028.48
L000058,C01055,BR007,Business,20-08-2023,306656.67,9.57,84,Approved,Active,205429.3
L000059,C00010,BR005,Personal,29-02-2024,415091.32,12.72,60,Approved,Closed,263998.08
L000060,C00731,BR007,Home,09-09-2023,557051.71,13.12,60,Approved,Active,365425.92
L000061,C02501,BR008,Auto,23-03-2023,1148332.45,9.96,48,Approved,Active,457495.65
L000062,C02382,BR011,Personal,14-08-2023,364693.49,11.97,240,Approved,Closed,873076.22
L000063,C00510,BR006,Auto,30-12-2024,310610.94,11.86,48,Approved,Active,147353.83
L000064,C01652,BR011,Business,10-08-2025,370806.35,9.62,48,Rejected,Rejected,142686.28
L000065,C00240,BR005,Home,03-01-2024,1137032.52,9.15,48,Approved,Active,416153.9
L000066,C00247,BR001,Education,15-11-2025,477158.98,8.82,84,Approved,Active,294597.95
L000067,C01597,BR001,Personal,12-02-2024,503273.86,9.52,12,Pending,Under Review,47911.67
